DFRP-No_No-RBIF,Asset-name_Nom_du_bien,Street-number_Numéro-civique,Address_Adresse,City_Ville,Province-Code_Code-de-province,Province_Territory_Province_Territoire,Postal-code_Code-postal,Asset-type_Type-de-bien,Asbestos_Amiante,Mgmt-plan_Plan-gest
153559.0,Centre commercial St-Luc St-Jean,1235,Douglas Street,Saint-jean-sur-Richelieu,QC,Quebec,J2W 1C7,Lease,No,Not required
75033.0,Les Laurentides Gallery,500,Des Laurentides Boulevard,Saint-Jérôme,QC,Quebec,J7Z 4M2,Lease,No,Not required
7013.0,National Film Board Building 'B',3155,Côte-de-liesse Road,Saint-Laurent,QC,Quebec,H4N 2N4,Crown-owned,Yes,Yes
103618.0,National Film Board Building Normand-Mclaren - National Film Board 'A',3155,Côte-de-liesse Road,Saint-Laurent,QC,Quebec,H4N 2N4,Crown-owned,Yes,Yes
103619.0,National Film Board Building 'E',3155,Côte-de-liesse Road,Saint-Laurent,QC,Quebec,H4N 2N4,Crown-owned,Yes,Yes
103620.0,National Film Board Building 'C',3155,Côte-de-liesse Road,Saint-Laurent,QC,Quebec,H4N 2N4,Crown-owned,Yes,Yes
103621.0,National Film Board Building 'D',3155,Côte-de-liesse Road,Saint-Laurent,QC,Quebec,H4N 2N4,Crown-owned,Yes,Yes
153556.0,Building,4725,Cousens Street,Saint-Laurent,QC,Quebec,H4S 1X5,Lease,Work in progress,Work in progress
103622.0,National Film Board Building John-Grierson - National Film Board 'F',125,Houde Street,Saint-Laurent,QC,Quebec,H4N 2N4,Crown-owned,Yes,Yes
17855.0,Building,2089,Marcel-Laurin Street,Saint-Laurent,QC,Quebec,H4R 1K4,Lease,No,Not required
104483.0,Government of Canada Building,655,Montée-de-liesse Street,Saint-Laurent,QC,Quebec,H4T 1P5,Crown-owned,Yes,Yes
20582.0,Complexe Le Baron,6020,Jean-Talon Street East,Saint-Léonard,QC,Quebec,H1S 3B1,Lease,No,Not required
23491.0,Building,9177,Langelier Boulevard,Saint-Léonard,QC,Quebec,H1P 3K9,Lease,No,Not required
153632.0,Building,63,Champlain Street,Salaberry-de-Valleyfield,QC,Quebec,J6T 1X4,Lease,Yes,Work in progress
21153.0,Schefferville Airport Hangar,Block 8,Aéroport de Schefferville,Schefferville,QC,Quebec,G0G 2T0,Crown-owned,No,Not required
73922.0,Building,240,Jolliet Avenue,Sept-Îles,QC,Quebec,G4R 2A9,Lease,No,Not required
8122.0,Jos-Hébert Building,701,Laure Boulevard,Sept-Îles,QC,Quebec,G4R 1X8,Crown-owned,Yes,Yes
23513.0,185 Napoléon Street,6-185,Napoléon Street,Sept-Îles,QC,Quebec,G4R 3M5,Lease,No,Not required
25137.0,Building,4610,George Bornais Avenue,Shawinigan,QC,Quebec,G9N 6T5,Lease,No,Not required
6222.0,Government of Canada Building - Taxation Data Centre,4695,12th Avenue,Shawinigan,QC,Quebec,G9N 7V9,Crown-owned,Yes,Yes
10081.0,Building,702,5ème Rue Street,Shawinigan,QC,Quebec,G9N 1E9,Lease,No,Not required
73984.0,Centre commercial La Promenade,444,5th Street,Shawinigan,QC,Quebec,G9N 1E6,Lease,No,Not required
60420.0,"395 De la Station Ave, Shawinigan, QC",395,De la Station Avenue,Shawinigan,QC,Quebec,G9N 1V8,Lease,No,Yes
11031.0,Building,3299,Industriel Boulevard,Sherbrooke,QC,Quebec,J1L 2E9,Lease,Yes,Yes
6327.0,Jacques-Cartier Square,1650,King Street West,Sherbrooke,QC,Quebec,J1J 2C3,Lease,Yes,Yes
43083.0,Royal Bank Building,2665,King Street West,Sherbrooke,QC,Quebec,J1L 2G5,Lease,No,Not required
6320.0,Government of Canada Building,50,Place de la cité,Sherbrooke,QC,Quebec,J1H 4G9,Crown-owned,Yes,Yes
17925.0,Building,202,Wellington Street North,Sherbrooke,QC,Quebec,J1H 5B7,Lease,No,Not required
19928.0,Building,101,Augusta Street,Sorel-Tracy,QC,Quebec,J3P 1A8,Lease,No,Not required
75150.0,Building,182,De l'Eglise Street,Tadoussac,QC,Quebec,G0T 2A0,Lease,Yes,Yes
75149.0,Building,454,Du Bateau-Passeur Street,Tadoussac,QC,Quebec,G0T 2A0,Lease,No,Not required
16125.0,Building,835,Montée-Masson,Terrebonne,QC,Quebec,J6W 2C7,Lease,No,Not required
16325.0,Building,350,Frontenac Boulevard West,Thetford Mines,QC,Quebec,G6G 6N7,Lease,No,Not required
43061.0,Le Bourg du Fleuve Complex,25-55,Des Forges Boulevard,Trois-Rivières,QC,Quebec,G9A 2G4,Lease,Yes,Yes
21779.0,Building,125,Des Forges Street,Trois-Rivières,QC,Quebec,G9A 2G7,Lease,No,Not required
21694.0,Building,1660,Royale Street,Trois-Rivières,QC,Quebec,G9A 4K3,Lease,No,Not required
21827.0,Building,2250,Saint-Olivier Street,Trois-Rivières,QC,Quebec,G9A 4E9,Lease,Yes,Yes
75043.0,Building,906,5th Avenue,Val-d'Or,QC,Quebec,J9P 1B9,Lease,No,Not required
75126.0,Building,400,Centrale Avenue,Val-d'Or,QC,Quebec,J9P 1P3,Lease,No,Not required
4458.0,Centre Vaudreuil,2555,Dutrisac Street,Vaudreuil-Dorion,QC,Quebec,J7V 7E6,Lease,No,Yes
59125.0,Wellington Complex,4110,Wellington Street,Verdun,QC,Quebec,H4G 1V7,Lease,No,Not required
21700.0,Building,184,Bois-Francs Boulevard North,Victoriaville,QC,Quebec,G6P 9C3,Lease,No,Not required
,Building,1111,Jutras Boulevard,Victoriaville,QC,Quebec,G6P 0A1,Lease,Work in progress,Work in progress
19421.0,Building,84,Labbé Boulevard South,Victoriaville,QC,Quebec,G6S 1K4,Lease,No,Not required
20924.0,Building,69,Sainte-Anne Street,Ville-Marie,QC,Quebec,J9V 2B6,Lease,No,Not required
7002.0,4225 Dorchester Boulevard West,4225,Dorchester Boulevard West,Westmount,QC,Quebec,H3Z 1V5,Lease,Yes,Yes
145176.0,Coach and Wilson House,,Meech Lake Road,Chelsea,QC,Quebec,J0X 1N0,Crown-owned,Yes,Yes
54827.0,L'Atrium,85,Bellehumeur Street,Gatineau,QC,Quebec,J8T 8B7,Lease,No,Not required
7611.0,Bisson Centre,115,Bisson Street,Gatineau,QC,Quebec,J8Y 5M2,Crown-owned,Yes,Yes
7542.0,Asticou Centre - Block 100,241,Cité-des-Jeunes Boulevard,Gatineau,QC,Quebec,J8Y 6L2,Crown-owned,Yes,Yes
153548.0,Building,210,Champlain Street,Gatineau,QC,Quebec,J8X 3R5,Lease,No,Not required
6503.0,"Place Montcalm, Phase III",70,Crémazie Street,Gatineau,QC,Quebec,J8Y 3P2,Lease,No,Not required
7075.0,"455 de la Carrière Blvd, Gatineau, QC",455,de la Carrière Boulevard,Gatineau,QC,Quebec,J8Y 6V7,Lease-Purchase,Yes,Yes
