Asset-name_Nom_du_bien,Street-number_Numéro-civique,Address_Adresse,City_Ville,Province-Code_Code-de-province,Province_Territory_Province_Territoire,Postal-code_Code-postal,Asbestos_Amiante
Government of Canada Building - Surrey Federal Operations,13130,76th Avenue,Surrey,BC,British Columbia,V3W 2V6,No
Building,13450,102nd Avenue,Surrey,BC,British Columbia,V3T 5X3,No
Building,13479,108th Avenue,Surrey,BC,British Columbia,V3T 5T4,Work in progress
"13889 104th Ave, Surrey, BC",13889,104th Avenue,Surrey,BC,British Columbia,V3T 1W8,No
Station Tower,13401,108th Avenue,Surrey,BC,British Columbia,V3T 5T4,No
Government of Canada Building - Green Timbers-Building A - Administration,14200,Green Timbers Way,Surrey,BC,British Columbia,V3T 6P3,No
Government of Canada Building - Green Timbers-Building B - Services and Support,14200,Green Timbers Way,Surrey,BC,British Columbia,V3T 6P3,No
Government of Canada Building - Green Timbers-Building C - Warehouse,14200,Green Timbers Way,Surrey,BC,British Columbia,V3T 6P3,No
Government of Canada Building - Green Timbers-Building E - Gatehouse,14200,Green Timbers Way,Surrey,BC,British Columbia,V3T 6P3,No
"15295 10 Hwy, Surrey, BC",15295,Highway 10,Surrey,BC,British Columbia,V3S 0X9,No
King's Cross Shopping Centre,7488,King George Boulevard,Surrey,BC,British Columbia,V3W 0H9,Yes
Burnaby Fraser Tax Services Office Building,9737,King George Boulevard,Surrey,BC,British Columbia,V3T 5E6,No
Surrey Taxation Data Centre,9755,King George Boulevard,Surrey,BC,British Columbia,V3T 5E6,Yes
BC Surrey - 9900 King George Blvd,9900,King George Boulevard,Surrey,BC,British Columbia,V3T 4Y3,No
"10153 King George Blvd, Surrey, BC",10153,King George Boulevard,Surrey,BC,British Columbia,V3T 2W1,Yes
Building,7445,132nd Street,Surrey,BC,British Columbia,V3W 4M7,Work in progress
Building,7455,132nd Street,Surrey,BC,British Columbia,V3W 1J8,Work in progress
Building,5235,Keith Avenue,Terrace,BC,British Columbia,V8G 1L2,No
Building,4630,Lazelle Avenue,Terrace,BC,British Columbia,V8G 1S6,No
Building,5002,Pohle Avenue,Terrace,BC,British Columbia,V8G 4S8,No
Building,640,Industrial Way,Tofino,BC,British Columbia,V0R 2Z0,No
"1101 Dewdney Ave, Trail, BC",1101,Dewdney Avenue,Trail,BC,British Columbia,V1R 4T1,No
Harry Stevens Building,125,10th Avenue East,Vancouver,BC,British Columbia,V5T 1Z2,Yes
Building,3671,1st Avenue,Vancouver,BC,British Columbia,V5M 1C2,No
Woodward's Abbott Building,351,Abbott Street West,Vancouver,BC,British Columbia,V6B 0G6,No
Sandwell Building,1550,Alberni Street,Vancouver,BC,British Columbia,V6G 1A5,Work in progress
Tower 2 - 877 Expo Blvd,877,Beatty Street,Vancouver,BC,British Columbia,V6B 1K9,No
"1263 Broadway W, Vancouver, BC",1285,Broadway West,Vancouver,BC,British Columbia,V6H 1G7,Yes
Douglas Jung Building,401,Burrard Street,Vancouver,BC,British Columbia,V6C 3R2,No
Building,800,Burrard Street,Vancouver,BC,British Columbia,V6Z 0B9,Yes
Building,211,Columbia Street,Vancouver,BC,British Columbia,V6A 2R5,No
BC Rail Centre,221,Esplanade West,Vancouver (North),BC,British Columbia,V7M 3J3,Yes
Library Square,300,Georgia Street West,Vancouver,BC,British Columbia,V6B 4P4,No
Vancouver Centre,650,Georgia Street West,Vancouver,BC,British Columbia,V6B 4N7,Yes
IBM Tower,701,Georgia Street West,Vancouver,BC,British Columbia,V7Y 1K8,Yes
Building,1185,Georgia Street West,Vancouver,BC,British Columbia,V6E 4E6,Yes
"1188 Georgia St W, Vancouver, BC",1188,Georgia Street West,Vancouver,BC,British Columbia,V6E 4A2,Yes
Library Square,775,Hamilton Street,Vancouver,BC,British Columbia,V6B 6B4,No
Harbour Centre,555,Hastings Street West,Vancouver,BC,British Columbia,V6B 4N6,Yes
Sinclair Centre - Post Office Winch,757,Hastings Street West,Vancouver,BC,British Columbia,V6C 1A1,Yes
Sinclair Centre-Federal Building,757,Hastings Street West,Vancouver,BC,British Columbia,V6C 1A1,Yes
Sinclair Centre - Customs Examining Warehouse,757,Hastings Street West,Vancouver,BC,British Columbia,V6C 1A1,Yes
Sinclair Centre - Retail,757,Hastings Street West,Vancouver,BC,British Columbia,V6C 1A1,Yes
Building,1148,Hornby Street,Vancouver,BC,British Columbia,V6Z 2C3,Yes
Robson Court,840,Howe Street,Vancouver,BC,British Columbia,V6Z 2S9,Yes
"1420 Kingsway, Vancouver, BC",1420,Kingsway Street,Vancouver,BC,British Columbia,V5N 2R5,No
Standards Building,3625,Lougheed Highway,Vancouver,BC,British Columbia,V5M 2A6,Yes
Building,222,Main Street,Vancouver,BC,British Columbia,V6A 2S8,Yes
"1611 Main St, Vancouver, BC",1611,Main Street,Vancouver,BC,British Columbia,V6A 2W5,No
Building,1138,Melville Street,Vancouver,BC,British Columbia,V6E 4S3,No
Kapilano 100,100,Park Royal South,Vancouver (West),BC,British Columbia,V7T 1A2,No
Building,889,Pender Street West,Vancouver,BC,British Columbia,V6C 3B2,No
Building,890,Pender Street West,Vancouver,BC,British Columbia,V6C 2V6,Yes
Manulife Place,1095,Pender Street West,Vancouver,BC,British Columbia,V6E 2M6,No
Vancouver House,605,Robson Street,Vancouver,BC,British Columbia,V6B 5J3,No
John Robson Place,1155,Robson Street,Vancouver,BC,British Columbia,V6E 1B5,Yes
"1187 Robson St, Vancouver, BC",1187,Robson Street,Vancouver,BC,British Columbia,V6E 1B5,No
Grant Thornton Place,333,Seymour Street,Vancouver,BC,British Columbia,V6B 5A6,Yes
Terminal Avenue,468,Terminal Avenue,Vancouver,BC,British Columbia,V6A 0C1,Work in progress
"160 Water St, Vancouver, BC",160,Water Street,Vancouver,BC,British Columbia,V6B 1B2,No
Building,1305,Welch Street,Vancouver (North),BC,British Columbia,V7P 1B3,No
BC Access Centre,189,Stewart Street East,Vanderhoof,BC,British Columbia,V0J 3A0,No
Property Number 22657,4501,31st Street,Vernon,BC,British Columbia,V1T 5J8,No
Building,3101,30 Avenue,Vernon,BC,British Columbia,V1T 2C9,Work in progress
Vernon Federal Building,3101,32nd Avenue,Vernon,BC,British Columbia,V1T 7X5,Yes
"4708 34th St, Vernon, BC",4708,34th Street,Vernon,BC,British Columbia,V1T 5Y9,No
"1321 Blanshard St, Victoria, BC",1321,Blanshard Street,Victoria,BC,British Columbia,V8W 0B6,No
"1150 Douglas St, Victoria, BC",1150,Douglas Street,Victoria,BC,British Columbia,V8W 3M9,Yes
"1405 Douglas St, Victoria, BC",1405,Douglas Street,Victoria,BC,British Columbia,V8W 2G2,Yes
"754 Fort St, Victoria, BC",754,Fort Street,Victoria,BC,British Columbia,V8W 1H2,No
Building,827,Fort Street,Victoria,BC,British Columbia,V8W 1H6,No
"320 Garbally Rd, Victoria, BC",320,Garbally Road,Victoria,BC,British Columbia,V8T 2K1,No
P L James Place,1230,Government Street,Victoria,BC,British Columbia,V8W 3M4,No
Government of Canada Building - New Federal Building,1415,Vancouver Street,Victoria,BC,British Columbia,V8V 3W4,No
Pennbridge Medical Centre,4475,Viewmont Avenue,Victoria,BC,British Columbia,V8Z 6L8,No
Building,836,Yates Street,Victoria,BC,British Columbia,V8V 1L8,Work in progress
"914 Yates St, Victoria, BC",914,Yates Street,Victoria,BC,British Columbia,V8V 3M2,No
Bank of Montreal Building,35,2nd Avenue South,Williams Lake,BC,British Columbia,V2G 3W3,No
Office Building,280C,3rd Avenue,Williams Lake,BC,British Columbia,V2G 4T5,No
Building,79,4th Avenue,Williams Lake,BC,British Columbia,V2G 1J6,No
Taku Building,4109,4th Avenue,Whitehorse,YT,Yukon,Y1A 1H6,No
Elijah Smith Building,300,Main Street,Whitehorse,YT,Yukon,Y1A 2B5,Yes
Takhini Building,419,Range Road,Whitehorse,YT,Yukon,Y1A 3V1,Yes
Government of Canada Building - Workshop Special Purpose Building,421,Range Road,Whitehorse,YT,Yukon,Y1A 3V1,Yes
Government of Canada Building - Quonset Hut,421,Range Road,Whitehorse,YT,Yukon,Y1A 3V1,Yes
