lat,lon,Z,Name,Organisme,Adresse,Ville,Province,Code_postal,Localisation_de_l_amiante,Source,L__gislation,Cat__gorie,Latitude,Longitude,Code postal,amiante,gislation,gorie
-73.63652,45.476717,0,Administration,English-Montréal,6000 Avenue Fielding,Montréal,Québec,H3X 1T4,Plafond Calorifuge Plancher,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,45.476717,-73.63652,H3X 1T4,Plafond Calorifuge Plancher,LSST RSST et CSTC,Établissement scolaire
-73.588427,45.519372,0,Bancroft,English-Montréal,4563 Rue St-Urbain,Montréal,Québec,H2T 2V9,,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,45.519372,-73.588427,H2T 2V9,,LSST RSST et CSTC,Établissement scolaire
-73.637617,45.494284,0,Coronation,English-Montréal,4810 Avenue Van Horne,Montréal,Québec,H3W 1J3,Calorifuge Plancher,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,45.494284,-73.637617,H3W 1J3,Calorifuge Plancher,LSST RSST et CSTC,Établissement scolaire
-73.659405,45.457444,0,Edinburgh,English-Montréal,500 Avenue Hudson,Montréal,Québec,H4X 1X1,Plafond Calorifuge Plancher,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,45.457444,-73.659405,H4X 1X1,Plafond Calorifuge Plancher,LSST RSST et CSTC,Établissement scolaire
-73.534272,45.581798,0,Edward Murphy,English-Montréal,6800 Rue Pierre-De-Coubertin,Montréal,Québec,H1N 1T2,Plafond Plancher,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,45.581798,-73.534272,H1N 1T2,Plafond Plancher,LSST RSST et CSTC,Établissement scolaire
-73.654097,45.454834,0,Elizabeth Ballantyne,English-Montréal,314 Northview,Montréal,Québec,H4X 1E2,Calorifuge Plancher,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,45.454834,-73.654097,H4X 1E2,Calorifuge Plancher,LSST RSST et CSTC,Établissement scolaire
-73.619933,45.614637,0,Gerald Mcshane,English-Montréal,6111 Boul. M.-Duplessis,Montréal,Québec,H1G 1Y6,Calorifuge,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,45.614637,-73.619933,H1G 1Y6,Calorifuge,LSST RSST et CSTC,Établissement scolaire
-73.63652,45.476717,0,High School Of Montreal,English-Montréal,6000 Avenue Fielding,Montréal,Québec,H3X 1T4,Calorifuge,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,45.476717,-73.63652,H3X 1T4,Calorifuge,LSST RSST et CSTC,Établissement scolaire
-73.59091,45.455697,0,Honoré Mercier,English-Montréal,1935 Boul. Desmarchais,Montréal,Québec,H4E 2B9,Plafond Calorifuge,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,45.455697,-73.59091,H4E 2B9,Plafond Calorifuge,LSST RSST et CSTC,Établissement scolaire
-73.597437,45.467826,0,James Lyng,English-Montréal,5440 Rue Notre-Dame Ouest,Montréal,Québec,H4C 1T9,Plafond Calorifuge,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,45.467826,-73.597437,H4C 1T9,Plafond Calorifuge,LSST RSST et CSTC,Établissement scolaire
