Adresse,Latitude,Longitude,AverageConstructionYearNearby
38 Avenue Fairmount Est,45.524026,-73.594758,1925.1823204419888
5100 Rue Bossuet,45.577523,-73.551047,1944.8
3000 Rue Beaubien Est,45.552282,-73.588722,1927.5454545454545
5050 18E Avenue,45.554141,-73.564944,1938.343151693667
6555 De Normanville,45.539761,-73.601256,1927.0
10600 Avenue Larose,45.579476,-73.648378,1953.0
7400 Rue Sagard,45.552372,-73.606643,1901.6666666666667
500 Avenue Du Mont-Cassin,45.541791,-73.667663,1967.0
7055 Avenue Somerled,45.461319,-73.643557,1950.4285714285713
75 Rue Villeneuve,45.520518,-73.590417,1924.2276595744681
2150 Rue Liébert,45.594373,-73.518068,1972.3333333333333
3580 Rue Dandurand,45.55486,-73.574474,1938.995575221239
4115 Rue Saint-Jacques,45.47728,-73.58704,1928.4889779559119
2355 Boul. Pie-Ix,45.552536,-73.547849,1937.5300546448088
2870 Rue Dandurand,45.548959,-73.578067,1928.3046683046682
3129 Avenue Laurier Est,45.548598,-73.570984,1931.814269535674
360 Avenue Clark,45.486371,-73.59352,1932.6423208191127
6300 Chemin De La Côte-Saint-Luc,45.474382,-73.643137,1956.625
6365 1E Avenue,45.549871,-73.589313,1939.3076923076924
7230 8E Avenue,45.556784,-73.599531,1926.142857142857
8777 24E Avenue,45.577764,-73.613231,1952.0240963855422
4131 Rue Adam,45.549161,-73.537371,1940.5236728837876
8550 Rue Clark,45.540165,-73.639153,1949.9333333333334
9920 Rue Parthenais,45.571173,-73.647257,1948.6666666666667
4841 Avenue Palm,45.470239,-73.590088,1928.8704318936877
5937 9E Avenue,45.552383,-73.582588,1941.4117647058824
3850 Avenue Dupuis,45.49721,-73.627343,1943.3150105708246
1239 Boul. Gouin Est,45.561942,-73.66626,1945.0
750 Boul. Gouin Est,45.558576,-73.668265,1938.5
5050 18E Avenue,45.554141,-73.564944,1938.343151693667
6555 De Normanville,45.539761,-73.601256,1927.0
215 Rue Prieur Ouest,45.546626,-73.669869,1952.5
2743 Rue De Rouen,45.536203,-73.554768,1931.9631425800194
6972 Avenue Christophe-Colomb,45.540905,-73.608719,1933.125
7400 Rue Sagard,45.552372,-73.606643,1901.6666666666667
500 Avenue Du Mont-Cassin,45.541791,-73.667663,1967.0
2950 Rue Jarry Est,45.561309,-73.611814,1916.25
4770 Rue La Fontaine,45.556619,-73.53465,1943.8774617067834
3155 Rue Desautels,45.583754,-73.540205,1932.0
3100 Rue Arcand,45.584033,-73.537944,1932.0
6855 16E Avenue,45.560201,-73.589081,1938.2
5755 13E Avenue,45.553834,-73.578004,1953.578947368421
7230 Avenue De Gaspé,45.537219,-73.618499,1944.0
8500 Rue Sainte-Claire,45.599938,-73.525676,1952.5384615384614
3700 Rue Sherbrooke Est,45.548931,-73.555138,1932.90387374462
8100 Rue De Marseille,45.596359,-73.530174,1954.3333333333333
8901 Boul. Saint-Michel,45.570501,-73.624579,1945.25
3450 Rue Davidson,45.546586,-73.55848,1930.3192771084337
5959 Rue Christophe-Colomb,45.535904,-73.597192,1921.7555555555555
6500 Avenue De Renty,45.582778,-73.550958,1967.3333333333333
7350 Rue Garnier,45.546974,-73.610688,1931.0
7350 Rue Garnier,45.546974,-73.610688,1931.0
7950 Rue Cartier,45.552572,-73.615855,1945.7142857142858
9355 Avenue De Galinée,45.558776,-73.643731,1937.25
5095 9E Avenue,45.548835,-73.570654,1931.938706015891
1975 Boul. Desmarchais,45.455774,-73.592995,1961.9333333333334
5005 Rue Mousseau,45.605897,-73.531958,1985.5
5005 Rue Mousseau,45.605897,-73.531958,1985.5
2430 Terrasse Mercure,45.536551,-73.565017,1934.934861278649
6300 Chemin De La Côte-Saint-Luc,45.474382,-73.643137,1956.625
8777 Av. 24e,45.577764,-73.613231,1952.0240963855422
12055 Rue Dépatie,45.534121,-73.706762,1961.8333333333333
6320 Chemin De La Côte-Des-Neiges,45.501858,-73.634629,1946.077868852459
10495 Avenue Georges-Baril,45.559335,-73.66205,1946.5
2110 Boul. Saint-Joseph Est,45.537987,-73.576737,1922.3300970873786
